document_id,clean_text,sentiment
1,detective batman at its peak great storyline just as dark a universe as weve come to expect from dc the gloomy gritty dark tone of this film is exactly what i wanted when you think the movie is over theres more beautiful cinematography great score,positive
2,i just got out of the batmanthis movie really wont be for everyone easily the darkest batman movie yet it is gritty depressing and not a fun movie at allthis isnt your usual comic book movie its a detective movie with more in common with seen than previous batman movies the first two thirds of the movie are amazing at one point i turned to my son and said this is a masterpiece everything works and is brilliant i was  enthralled but boy does it drop the ball in the final actof the cast pattinson is great collin farrell is ok zoe kravitz was fine too but she has zero chemistry with pattinson keaton and pfeiffer they are not paul dano though was incredible especially in the scene in arkham whilst geoffrey wright is as great as he always ison the downside it does have some pacing issues and is really too long though im not sure what id cut and i really wasnt keen on the ending i dont know if it is a comic book storyline they did as i think the final act really lets the movie down its here in the final act that you feel the movies run timei was surprised there were only  other people in my screening,negative
3,i have been absolutely fizzing to see the batman from the day it was announced but even more so from when i first heard it described as being inspired by seen  one of my favourite psychological thrillers of all time were we finally going to get the raw and gritty batman film id always dreamed of seeing we certainly werewhere to begin the biggest thing that struck me with this film was just how much time we got to spend with batman as batman there is very little of bruce wayne in this movie and im absolutely fine with that the movie is batmans story and we are with him from start to finish we even get some narration from him which im not quite sure how i feel about just yet it was very good narration but im not sure hes a character i want it fromthe riddler in this movie is phenomenal after the joker in the dark knight this is absolutely my second favourite batman film villain he was clearly inspired by the zodiac killer and what an inspired choice also the use of the riddles in the film is nothing short of genius these are very clever riddles and puzzles and make batman have to do some serious detective work  something ive always wanted more of from him in the previous filmsthis is my favourite incarnation of catwoman to date i havent loved her characters place in the films in the past ive found she slows everything down and brings out a dull side of batman that i havent enjoyed in this film though she was used perfectly shes the love interest and a villainantihero all in one that is massive because it saves another thing that can often bog down a batman film  the pointless love interestthe penguin was probably the one letdown for me from what id seen in the trailer i suspected this may be the case im wondering if they were using this movie as a setup for him and then in the second film he will evolve and have a lot more to do in this one though i just found him quite a dull screenpresencerobert pattinson as batman blew me away he looked great and his voice was perfect he was extremely intense and very menacing even though i knew he was more than capable of playing the role i think i still needed to see the end product just for confirmation that he had what it takes he absolutely did and then somethe film has quite a unique feel there are scenes and sequences in this film that would feel out of place in both tim burtons batman universe and christopher nolans universe but then there are little aspects from each of their respective films which clearly inspired parts of the batman it basically took the best things from each of them and then twisted them into its own style  while obviously adding a lot of its own stuff also its very well done in that sensethe batmobile in this movie is awesome theres just no other way to put it the sound it made and the vibrations it sent through my cinema chair were bonechilling the chase sequence in this movie with the penguin is one of the best ive ever seenthe film is long at just under  hours but it really never feels like it theres a short period in the middle of the movie where everything slows down for a little while that really is the only flat part of the movie however the rest happens at a breakneck paceits hard to find enough good things to say about this movie i need to see it again and digest a couple of things for a little longer but for now i have it firmly sitting in second place behind the dark knight in my order of favourite batman films,neutral
4,the riddlerpaul dano spoton how did it take this long for him to get a role like this targets public officials revealing their corruption and killing them in gruesome fashionhow did this get away with a pg again oh right as long as you dont show the details then you can get away with almost anything by now even a barely toned down jigsaw in order to stop him it will be necessary for the bat and the catwith amazing chemistry together to stop the rat thanks matti really did not think that we needed yet another film dealing with bruce waynes alterego how about nightwing i know its not likely but part of me still holds out hope that grayson will be turned into a featureif youve never checked out the trailer on youtube youre missing out but somehow this managed to convince me fingers crossed for at least one sequel robert pattinson is incredible here seriously can we just stop freaking out every time the role is recast the closest weve come to someone who shouldnt be doing it is george clooney and its not like anybody came out of that flick looking good he took that job after doing from dusk till dawn there was good reason to think that he was going to be badass honestly everyone here gives a strong performancesomething that will definitely appeal to some more than others is the genre and tone this is essentially seen meets zodiac it is not paced like a typical massive blockbuster while the action is great especially the martial arts not to mention that car chase theres less of it and it is smaller scale than for example the nolan trilogywhich also has far more escalation essentially this just isnt focused that much on that aspect of the titular icon and i think we can all agree that weve had some great entries that deliver that this is more interested in conveying to the audience that theres a reason hes called the worlds greatest detective weve barely seen it outside of the animated ones before so im very happy with that choice by themin addition to what ive already mentioned this features some drugs suggestive material and strong language i recommend this to any fan of batman ,positive
5,star rating  brilliant  very good  okay  poor  awfulgotham city is rocked by a series of murders of key political figures by a sadistic killer calling himself the riddler paul dano who holds the city to ransom revealing darkly guarded secrets and threatening more mayhem until he is stopped the batman robert pattinson the alter ego of millionaire bruce wayne starts an investigation of his own crossing paths with a woman called selina kyle zoe kravitz who operates as catwoman and wants to find out what happened to her friend it sets them both on a collision course with the darkest elements of gothams underworld including notorious gangster the penguin an unrecognisable colin farrell and crime boss carmine falcone john turturro who may be sitting on a devastating secret that could shatter both their livesthe batman series must be one of the most enduringly successful franchises in the world of comic book films appearing in various different incarnations since its original creation here writerdirector matt reeves delivers a mammoth three hour long interpretation of his own of the character that many seem to be hailing as the best ever less doesnt seem to be more anymore at least not to the cinema artistes but from this end all i can see is a film drowning in its own indulgencereeves is obviously keen to maintain the bleak heavy tone established by christopher nolan and so we have a gotham city with seemingly endless heavy rain and gloomy skies set against pattinsons dark brooding stare and gravelly voiceovers set to the background of the emo rock soundtrack its just one of many things ripe for parody in a film that takes itself much too seriously and feels almost devoid of any humour and light even more overdone is danos dark riddler operating in some garish gimp suit that just looks ridiculous thrown in to this is the topical social justice speeches that litter film and tv today with kravitzs catwoman even praising the sinister villain who were meant to hate at one point for killing all these white privileged aholes its just trying to cram a whole load of eggs in to one basket over ambitious and overlong and by the time of the main villains grand master plan at the end youre too overwhelmed or bored to careeveryone else can think what they like but personally this is one of the most pretentious batmans ever which might have been a bit more bearable if it had just been less self indulgent or at least had an old fashioned lawrence of arabia style intermission at some point,negative
6,everything about this movie is trying too hard  the over dramatic score the long shots on characters faces the overacting the complex crime story  it all feels like its trying to get an oscar in every momentits overly long drawn out and the story feels like a generic crime saga that has the batman universe shoehorned into itthis movie is not a masterpiece but it spends a lot of effort making you think it is,negative
7,im not sure where to begin as i dont generally want to spoil the reveals but the big twists in the film were very anticlimactic for the batman matt reeves seemed to borrow from some of the bigger books such as batman year one hush and batman the long halloween reeves also leaned heavily onto films such as the french connection zodiac and the noir classic chinatown the general feel of the movie sought to relate batman in the detective role that hes famous for in the comics but unfortunately ignores any attempt at batmans level of crime  mysterythe acting was really good theres a great cast of professionals in this film although robert patterson isnt allowed a range of emotion bruce wayne and batman are completely indistinguishable as the tired emokid who walks through life with severe lethargy colin farrell is unrecognizable as the penguin and dare i say gave the greatest performance of his life a large portion of the film is writing out a semiorigin story for oswald cobblepot and his rise to become gothams crime boss a lot of the villains are the origin stories here batman the character is basically introduced the way he is in batman year two and i thought that was a mistake year one of batman would have been wonderful on screen the audience seeing bruce wayne learning to use fear in his early days would have been a relief to this movies everyone is just scared of him plot device zoe kravitzs performance as selena kyle becoming cat woman was underdeveloped as she was so much fun to watch in the batman that id like to see this spinoff into a standalone cat woman release jeffery wright was brilliant of course even remaining quiet in the batmans background he pulled the attention onto himself mostly because pattersons portrayal was incredibly stiff paul dano as the riddler was exactly what i wanted to see in this movie the character reached a new level of applause as a serial killer but saddly that part of the plot was put on the back burner for the lackluster crime drama with carmine falcone john turturro was great as the crime boss falcone but the plot focused too long on his side story rather than offering more clues about the killings it dragged on so long that it bored me completely i went into the batman to see him match wits with a clever serial killer not be reeducated about the connection between thomas wayne  carmine falcone againthe action sequences with the car chases and the fight choreography seemed old fashioned in a way i knew before hand that reeves lifted from some older better known films but its as if they dropped the budget on these scenes batman racing to catch the penguin was an old muscle car batmobile versus what im guessing was a s buick i was laughing at this chase scene it was presented with such seriousness that maybe if penguin were in an expensive italian sports car i might have enjoyed it but it was literally a suppedup car desperately trying to out pace my moms car the fighting was dull hand to hand combat is one of the first things bruce wayne learns before donning the cowl but in this movie batman is throwing punches a newly trained boxer would scoff at so much of these scenes were empty and devoid of thrills and chills that i wondered where the editor wasthe batman is simply too long its a ridiculous attempt to impress fans of its own significance it fails at cohesive storytelling and it basically pats itself on the back throughout the unnecessary musical score unlike the dark knight before it  i wont watch it again,negative
8,matt reeves the batman is a hell of a movie it is the darkest live action batman movie ever made and the longest one too the batman fills with a top notch action sequence that not only exciting but its cinematic too the cinematography was just incredible michael giacchino the batman theme song has just become one of my favorite movie theme song ever its enduringly great the action is perfect itself without the theme but they making it even more perfect with the theme in the background especially when batman shows up it really making me hyped more because of that colin farrell transformation is as amazing as his performance as the penguin paul dano performance is giving me a heath ledger joker vibes but not trying to be heath ledger joker which is still great paul dano the riddler is still a terrifying and a very disturbing villain zoe kravits performances as catwoman was amazing though she is not as wild as michelle pfeiffer in batman returns but boy did her gesture and look is as wild as michelle pfeiffer and the catwoman fighting sequence is definitely a win for zoe and i did still like her a lot in here and in the end we got the batman himself robert pattinson all i can say about him as the batman is that i hope everybody is starting to know him as the guy who play the batman which is a really good movie and not the guy who play in the horrible twilight film anymore because he is indeed an awesome batman now he was become my second favorite batman next to christian bale in number one still the story of the batman itself is great and my only problem with the movie is that there is quite a lot of particular scene that for me are just very slow or too slow its not boring but i feel like they can make it a little bit faster if its only one or two or three scene i probably still can forgive it but unfortunately it happens more than that but at in the end the batman is still a hell of a great movie its still amazing and its still incredible i was impress by most of the thing that happens i was excited i was hyped i was stunt by all the amazing thing that theyve done the batman is fire,positive
9,the headline can be taken two ways if you remove any hype or expectations saying its a good movie is positive but if you are hoping for an amazing new batman iteration good means it wasnt great let alone amazingthis review will come off as negative but i did enjoy it i love the tone its super dark and grounded in reality even more than the nolan trilogy and it feels true to the character zoe kravitz and jeffrey wright are great casting choices its a mostly wellmade film and a good addition to the franchise and the bat suit looks awesomeat the same time nothing about this movie wowed me i did not connect with the characters especially the villain the relationships seem undeveloped and not organic i was not nearly as emotionally invested in the story as i should have been it mostly feels surface levelif youre a huge batman fan i think you will really enjoy it but as a movie i dont think it fires on all cylinders the nolan trilogy still reigns supreme  viewing fan early screening,neutral
10,wasnt a fan of emo batman sorry robert pattinson film was just a bit bleh and felt like it was trying too hard to emulate christopher nolan and david fincher in the end the mystery was a bit meh and not worth the three hours of what was mostly a runofthemill superhero film lacking much excitement or thrill the riddler was a bit lame too forgotten most of the movie and characters already underwhelming,negative
